TIC_ID|GDR2_ID|GDR2_RA|GDR2_DEC|TLC|mas_parrallax|g_mag|bp-rp|probability|age_myr|age_err_lower|age_err_upper|Distance|absolute_mag|cadences|tic_id_corrected|ecl_lat|ecl_lon|gal_lat|gal_lon
TIC_2951318|5981630983552995328|239.8085|-51.79|22|10.52|13.6|2.7|0.23|22.3|19.7|4.0|95.05703422|8.71007869910076|120,600,1800|297855749|-30.546887455978844|248.82285226720566|1.0031915651427126|329.8084546350123
TIC_344624947|5051952743596712832|43.8252|-33.7457|5|10.38|14.7|2.9|0.43|23.0|7.2|5.2|96.33911368|9.780986767565668|120,600,1800|91542943|-47.62114157931582|27.120656656819648|-62.60610486018613|234.5188929120204
TIC_34081396|892939991651179264|110.6627|32.2244|-1|12.34|14.5|3.1|0.77|22.4|4.7|4.9|81.03727715|9.9565757984188|1800|392065283|10.042305648893212|107.6434559488137|20.204348587451626|186.19570763857772
TIC_58214|5227091236372916864|176.6937|-72.8923|22|11.94|14.9|3.2|0.7|22.8|7.0|4.1|83.7520938|10.285021634027553|1800|454795575|-62.084050179937314|231.14610564441546|-10.623426122898627|298.15192500901867
TIC_345324572|2011344115416078336|355.4766|59.8768|-1|19.81|13.7|3.1|0.72|25.6|12.9|6.7|50.47955578|10.184422377688826|120,1800|345324572|54.02940120431461|31.59258995168523|-1.8251345231243339|114.30442510897346
TIC_254008394|64933037865353600|57.1109|23.1914|18|10.98|15.7|3.4|0.88|23.2|5.8|5.1|91.07468124|10.90301170053736|120|440686535|3.1113339350144047|60.00453680474343|-23.97915417629482|167.52037786163504
TIC_454292793|6013690341734638080|232.9987|-35.2988|22|10.08|14.7|3.3|1.0|7.7|2.4|2.6|99.20634921|9.71730266046762|600|89073316|-15.71718979315167|239.314683155575|16.96602791026904|336.30364872495
TIC_71445379|5104099762602067328|45.7153|-19.1973|-1|24.07|13.8|3.2|0.41|33.2|7.6|6.9|41.54549231|10.707380451588609|120,600,1800|71374255|-34.79303928826149|36.58342732860279|-58.86903117221721|205.25144489999536
TIC_7057268|5744272815688170240|137.4767|-7.9679|-1|14.31|13.8|2.9|0.49|23.9|17.6|6.6|69.88120196|9.57819816869552|120,600,1800|20090694|-23.168570761839543|142.5490969188243|25.94483518476603|237.9237139825714
TIC_284168900|6053591584367959040|189.5097|-63.404|-1|14.42|14.5|3.1|0.36|30.3|19.0|3.1|69.3481276|10.294826301934425|1800|338398821|-52.27692512017592|223.8044536861258|-0.5712595339442484|301.4328495473521
TIC_241440238|5230688284360121472|155.1553|-71.0902|22|11.18|14.8|3.3|1.0|11.4|3.0|3.2|89.44543828|10.0422090178163|120,600,1800|303048907|-67.23932625808759|220.51942479547904|-11.72281766735826|291.2531767989221
