TIC_ID,GDR2_ID,GDR2_RA,GDR2_DEC,TLC,mas_parrallax,g_mag,bp-rp,probability,age_myr,age_err_lower,age_err_upper,Distance,absolute_mag
TIC_204230222,4108080285336032384,260.1749,-27.2961,22,10.64,14.9,3.0,0.51,22.0,5.0,4.3,93.98496241,10.034708139703078
TIC_233016570,5253041703685170048,155.5155,-62.2746,22,11.9,16.3,3.8,0.94,29.6,8.1,8.4,84.03361345,11.677734806843224
TIC_904570607,150004863845761536,64.1451,24.939,18,10.31,14.2,2.8,0.62,15.2,3.1,4.6,96.99321048,9.266293326311615
TIC_175862644,4137738335819853696,260.3779,-15.1051,22,11.9,14.4,2.9,0.4,21.3,8.6,5.9,84.03361345,9.777734806843224
TIC_404012628,6567961678075907968,332.6178,-44.5303,-1,13.61,13.7,2.7,0.14,27.1,20.7,7.2,73.47538575,9.369290625891814
TIC_250134664,3021985138891596672,87.4937,-6.331,-1,12.56,14.4,3.1,0.66,16.4,4.1,4.9,79.61783439,9.89494819713965
TIC_412670344,2887023041519677696,87.4807,-37.408,-1,10.53,15.1,3.2,0.47,23.1,6.7,3.9,94.96676163,10.212141856005823
TIC_9802416,5072564497807483392,42.5921,-27.0546,-1,10.72,14.8,2.9,0.14,30.4,22.3,10.0,93.28358209,9.950973926773337
TIC_205794251,5341341180412323840,178.736,-59.9466,22,11.69,15.1,3.2,0.31,31.6,5.3,6.0,85.54319932,10.439072555698887
TIC_98229321,187398979431739264,78.3991,37.7889,-1,11.81,13.4,2.5,0.13,26.5,44.1,8.0,84.67400508,8.761249488078866
TIC_199704663,6603693881832177792,341.2424,-33.251,-1,47.94,10.7,2.8,0.95,14.8,2.7,4.7,20.85940759,9.103490148782193
TIC_70588598,6603693808817829760,341.2512,-33.2578,-1,47.8,11.8,3.0,0.15,28.0,8.0,4.5,20.92050209,10.1971394832734
TIC_50450573,6745034933356379904,293.6561,-32.7713,-1,11.6,16.4,3.6,0.23,48.2,11.5,5.5,86.20689655,11.72228994617802
TIC_81453592,150239265980824192,62.9017,25.078000000000003,-1,16.17,13.2,2.7,0.56,20.9,4.3,5.5,61.84291899,9.243550099383691
TIC_261151969,52943069723535488,60.2339,21.1661,-1,11.15,14.7,3.0,0.16,27.9,17.4,5.2,89.68609865,9.936374337034898
TIC_454292793,6013690341734638080,232.9987,-35.2988,22,10.08,14.7,3.3,1.0,7.7,2.4,2.6,99.20634921,9.71730266046762
TIC_93555508,5846885150693418752,207.8627,-70.093,-1,19.63,14.8,3.6,0.92,32.1,9.5,6.0,50.94243505,11.264601497931633
TIC_188140591,5845197224226679168,199.9865,-68.5206,22,10.59,12.0,2.2,0.7,8.0,2.0,1.1,94.42870633,7.124479800462074
TIC_437357930,6137297713805134848,197.8707,-42.8784,22,10.09,12.6,2.1,0.17,16.5,15.3,2.2,99.10802775,7.619455831189981
TIC_90500110,6133420114251217664,189.2707,-44.3221,22,11.35,15.7,3.6,0.99,17.9,3.5,4.0,88.10572687,10.97497930770108
TIC_456941080,6131261876006468864,185.315,-46.7196,-1,11.33,14.9,3.0,0.4,27.9,9.9,5.5,88.26125331,10.171149549311991
TIC_361187111,175227450134703744,71.1756,36.6771,-1,14.11,15.4,3.5,0.81,28.9,4.8,7.7,70.87172218,11.147635068859032
