DR2Name,RA_ICRS,DE_ICRS,Plx,Gmag,BPmag,RPmag,BP-RP
GaiaDR298097053338880,044.62693647266,+00.68834107721,0.4711,17.4624,17.9681,16.8168,1.1513
GaiaDR298303212428928,044.61864500232,+00.69123654790,-0.3568,20.6723,21.2011,19.6604,1.5407
GaiaDR298341866944128,044.58640755547,+00.68828699992,0.5095,16.8777,17.4055,16.2145,1.1910
GaiaDR298337572164608,044.59095827403,+00.69151801036,3.2027,20.7744,21.3498,19.3825,1.9673
GaiaDR298548025373056,044.67798693246,+00.69950739798,1.1752,13.4036,13.7611,12.8908,0.8703
GaiaDR298543732078080,044.67489705887,+00.70435080878,,20.8981,21.7141,19.6216,2.0925
GaiaDR298681169553664,044.63249778839,+00.69779925634,,21.1160,,,
GaiaDR298754183803776,044.62290406804,+00.71053531812,0.3204,16.6529,16.9656,16.1643,0.8014
GaiaDR298784248116992,044.62000036851,+00.71719693918,1.7947,18.0059,19.4236,16.7839,2.6397
GaiaDR298784248117376,044.62428134132,+00.71828984473,0.4484,19.3232,19.1839,17.8309,1.3530
GaiaDR298784248755072,044.62921351250,+00.72270579572,,20.8477,,,
GaiaDR298857263018112,044.65528168289,+00.72956874334,4.9731,16.7600,18.0302,15.6452,2.3850
GaiaDR298921687079296,044.64770049995,+00.74081361546,0.7969,18.5032,19.3042,17.5970,1.7072
GaiaDR298956046794752,044.73702120877,+00.67658238851,0.4121,19.0960,19.7916,18.2636,1.5280
GaiaDR299059126230272,044.73700010988,+00.69926458612,-0.6175,20.0469,20.7885,19.0676,1.7209
GaiaDR299063421447936,044.73783905211,+00.70739808427,1.6382,16.2199,16.9944,15.3772,1.6172
GaiaDR299127845496832,044.76819300001,+00.70657177119,2.1468,17.7563,19.0701,16.5895,2.4805
GaiaDR299196565188608,044.76117211877,+00.71935377527,2.5735,20.1911,21.4466,18.9136,2.5331
GaiaDR299235220140032,044.71215962997,+00.70284974602,0.6142,14.4192,14.7927,13.8807,0.9120
GaiaDR299265284449920,044.72866588496,+00.70604739984,-0.1040,19.7091,20.0476,19.1865,0.8611
GaiaDR299299644189568,044.69501237065,+00.70855509210,0.3799,17.2009,17.5722,16.6573,0.9148
GaiaDR299368363671680,044.73374452320,+00.72352665338,1.3101,17.2537,18.1435,16.3041,1.8395
GaiaDR299437083147904,044.72234865892,+00.72286880112,,19.8701,20.1488,18.8648,1.2840
