GDR2_ID,GDR2_RA,GDR2_DEC,TLC,mas_parrallax,g_mag,bp-rp,probability,age_myr,age_err_lower,age_err_upper,Distance
2982396707337190000,  80.2396,-16.5603,-1,4.19,16.3 ,2.8,0.21,23.5 ,11.7 ,5.8 ,238.6634845
2982278097519430000,  80.0038,-16.9224,-1,3.61,16.7 ,2.9,0.17,25.0 ,11.4 ,4.9 ,277.0083102
5310890893055850000,136.776,-55.4982,-1,3.24,17.9 ,3.2,0.22,28.1,  8.4 ,5.5 ,308.6419753
542979283208561000,  50.3890 ,70.5445,-1,3.31,16.7 ,2.9,0.23,20.5,  7.1 ,4.5 ,302.1148036
1717326494164820000,184.9944 ,78.2876,-1,3.53,17.1 ,3,0.33,19.9,  7.4 ,6.9 ,283.286119
5758725827316250000,138.6677 ,-4.9428,-1,5.17,16.0 ,2.8,0.16,26.4 ,27.3 ,8.0 ,193.4235977
5191889821846840000,138.4638,-84.1934,-1,4.52,16.1 ,2.8,0.14,26.3 ,11.2 ,8.7 ,221.2389381
3190520858177020000,  61.1374,-11.2997,27,5.13,15.3 ,2.9,1,  8.4,  2.7 ,3.8 ,194.9317739
1717031309652630000,188.3398 ,77.4674,-1,3.93,16.5 ,2.8,0.22,24.1 ,19.0 ,5.7 ,254.4529262
1998358917451980000,358.6341 ,57.8922,-1,4.83,16.3 ,3,0.25,22.8,  5.5 ,6.9 ,207.0393375
4323144927170100000,293.0770 ,18.3823,-1,5.11,17.4 ,3.4,0.36,31,  7.1 ,4.0 ,195.6947162
1846416271738770000,314.7912 ,29.2609,-1,12.69,13.6 ,2.7,0.37,22.8 ,15.4 ,4.7 ,78.80220646
6007810634598390000,236.2458,-41.4343,22,7.71,16.8 ,3.7,1,15.7,  3.7 ,4.6 ,129.7016861
1846439189684610000,314.7227 ,29.5658,-1,6.98,15.4 ,2.9,0.35,22,  6.5 ,7.1 ,143.2664756
3190528692197350000,  61.3818,-11.1732,-1,8.63,16.4 ,3.3,0.17,40.6 ,19.5,10.8 ,115.8748552
3190422864203290000,  63.1566,-10.8784,27,5.04,17.1 ,3.3,0.36,27.5,  8.7 ,5.7 ,198.4126984
3190584492412420000,  61.6208,-10.6147,-1,6.75,15.9 ,3.3,1,13.8,  2.4 ,3.5 ,148.1481481
3190222340769580000,  60.3454,-11.147,27,4.7,16.0 ,2.9,0.94,13.4,  2.8 ,3.8 ,212.7659574
3190312225845510000,  61.4262,-11.6285,27,4.63,16.2 ,3,0.4,19.7,  7.4 ,3.3 ,215.9827214
6695790384525580000,305.5052,-36.2804,-1,3.8,16.1 ,2.7,0.23,19.7,  9.4 ,3.5 ,263.1578947
3418398250807290000,  76.4120 ,23.065,-1,3.35,15.7 ,2.7,0.3,12.1,  3.8 ,2.2 ,298.5074627
4111593839099790000,260.3385,-23.3938,22,6.65,15.4 ,3,0.92,14.7,  3.1 ,3.8 ,150.3759398
3418414193726120000,  76.9127 ,23.1851,18,6.05,15.5 ,3.1,1,  8.0,  3.4 ,2.9 ,165.2892562
6026598569590230000,254.8429,-32.8474,22,6.65,16.4 ,3.4,0.94,17.8,  2.0 ,4.9 ,150.3759398
5341964225542580000,178.4475,-57.739,22,9.67,16.3 ,3.5,0.82,26.5,  8.0 ,8.0 ,103.4126163
5580229563474930000,  98.8509,-36.7798,-1,5.92,  5.9,-0.1,0.31,     ,     ,     ,168.9189189
3704037971403940000,190.6895,  3.7437,-1,3.8,17.1 ,3,0.31,22.7,  5.5 ,5.3 ,263.1578947
2019171401285610000,291.2791 ,22.3134,-1,3.54,17.6 ,3.2,0.2,     ,     ,     ,282.4858757
6011419712791700000,238.0921,-35.541,22,5.63,16.2 ,3.3,1,  8.6,  2.6 ,2.7 ,177.6198934
6011392186336440000,237.9456,-35.9457,22,6.46,11.8 ,1.8,1,     ,     ,     ,154.7987616
4361225451536350000,259.2222 ,-6.4792,-1,5.92,16.3 ,3.2,0.33,20.7,  8.9 ,3.6 ,168.9189189
404560016339195000,  14.5263 ,51.1527,-1,3.07,15.8 ,2.5,0.48,11.5,  3.5 ,2.7 ,325.732899
6011403494995120000,238.2911,-35.6577,-1,4.65,15.5 ,2.7,0.3,18.3,  8.4 ,2.2 ,215.0537634
6011432803852540000,238.3488,-35.4624,22,7.59,16.8 ,3.6,0.95,23.4,  4.0 ,5.0 ,131.7523057
5427085976191990000,138.6019,-43.2274,-1,5.55,  5.2,-0.2,0.62,     ,     ,     ,180.1801802
2061079630550850000,305.2015 ,38.2565,-1,3.16,  7.6,-0.1,0.34,     ,     ,     ,316.4556962
2240586276849160000,297.3465 ,61.1071,-1,3.21,17.1 ,2.9,0.15,26.5 ,24.0 ,7.2 ,311.5264798
2240639843680970000,296.0018 ,61.3098,-1,3.57,16.4 ,2.8,0.3,20.3 ,10.7 ,4.6 ,280.1120448
5969480662861250000,250.0188,-39.2735,22,5.69,15.3 ,3.1,1,  6.2,  2.6 ,2.4 ,175.7469244
5969503477730100000,250.4875,-38.9215,22,6.05,15.9 ,3,0.36,20.4,  6.8 ,5.6 ,165.2892562
5427054429650910000,138.127,-43.6132,-1,5.31,  6.0,-0.2,0.48,     ,     ,     ,188.3239171
